index,image_file,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\1.jpg,4,0,0,0,0,4,1,2.1177626000001055,,001,2019_Sep_19_1354,Raven's progressive matrices,3.2.3,60.05656126940137,
1,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\2.jpg,5,0,1,1,1,5,1,3.5047270000000026,,001,2019_Sep_19_1354,Raven's progressive matrices,3.2.3,60.05656126940137,
2,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\3.jpg,1,0,2,2,2,1,1,2.950104499999952,,001,2019_Sep_19_1354,Raven's progressive matrices,3.2.3,60.05656126940137,
3,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\4.jpg,2,0,3,3,3,2,1,3.414704099999881,,001,2019_Sep_19_1354,Raven's progressive matrices,3.2.3,60.05656126940137,
4,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\5.jpg,6,0,4,4,4,6,1,3.490944000000127,,001,2019_Sep_19_1354,Raven's progressive matrices,3.2.3,60.05656126940137,
5,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\6.jpg,3,0,5,5,5,3,1,4.456887299999835,,001,2019_Sep_19_1354,Raven's progressive matrices,3.2.3,60.05656126940137,
6,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\7.jpg,6,0,6,6,6,3,0,1.9492599999998674,,001,2019_Sep_19_1354,Raven's progressive matrices,3.2.3,60.05656126940137,
