index,image_file,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\1.jpg,4,0,0,0,0,4,1,3.445130000000063,,001,2019_Sep_19_1352,Raven's progressive matrices,3.2.3,59.99052149764094,
1,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\2.jpg,5,0,1,1,1,3,0,2.0487844000001587,,001,2019_Sep_19_1352,Raven's progressive matrices,3.2.3,59.99052149764094,
2,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\3.jpg,1,0,2,2,2,3,0,1.846991300000127,,001,2019_Sep_19_1352,Raven's progressive matrices,3.2.3,59.99052149764094,
3,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\4.jpg,2,0,3,3,3,6,0,2.105839099999912,,001,2019_Sep_19_1352,Raven's progressive matrices,3.2.3,59.99052149764094,
4,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\5.jpg,6,0,4,4,4,3,0,2.0083013999999366,,001,2019_Sep_19_1352,Raven's progressive matrices,3.2.3,59.99052149764094,
