index,image_file,correct,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,RPM_key_resp.keys,RPM_key_resp.corr,RPM_key_resp.rt,score,participant,session,date,expName,psychopyVersion,frameRate,
0,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\1.jpg,4,0,0,0,0,2,0,2.0068648000001303,0,,001,2019_Nov_19_1529,Raven's progressive matrices,3.2.3,59.97148955385762,
1,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\2.jpg,5,0,1,1,1,3,0,1.5952204000000165,0,,001,2019_Nov_19_1529,Raven's progressive matrices,3.2.3,59.97148955385762,
2,C:\Users\Jordan\Documents\Experiment Building\7. Raven_s Progressive Matrices\JPG Images\3.jpg,1,0,2,2,2,1,1,0.9205302999998821,1,,001,2019_Nov_19_1529,Raven's progressive matrices,3.2.3,59.97148955385762,
